scenario_id,S,K,T,sigma,r,moneyness,num_paths,mc_runtime_ms,mc_price
221,179.54887,182.775411,0.646352,0.567145,0.077581,0.982347,20000,0.328265,35.108628
222,154.492047,197.216679,0.442255,0.445171,0.037363,0.783362,20000,0.328265,6.226428
223,184.966498,160.91196,1.612338,0.499227,0.024391,1.149489,20000,0.328265,59.965871
224,110.793437,97.488969,0.148094,0.362357,0.069949,1.136472,20000,0.328265,15.675614
225,116.16051,123.331996,0.11829,0.162038,0.021435,0.941852,20000,0.328265,0.525007
226,169.405301,146.068445,0.347297,0.288075,0.05246,1.159767,20000,0.328265,28.418268
227,108.946992,128.502207,0.427449,0.423927,0.007848,0.847822,20000,0.328265,5.636955
228,162.164059,188.99351,1.329559,0.586449,0.078773,0.85804,20000,0.328265,40.9629
229,61.344175,67.504399,0.06344,0.180172,0.076604,0.908743,20000,0.328265,0.025265
230,57.320413,59.172823,0.115142,0.278196,0.030028,0.968695,20000,0.328265,1.459172
231,154.507366,197.481989,1.943911,0.232254,0.075843,0.782387,20000,0.328265,13.847481
232,137.23855,160.200917,0.881183,0.564393,0.057365,0.856665,20000,0.328265,23.587144
233,198.027203,195.934219,0.584164,0.596931,0.041543,1.010682,20000,0.328265,38.723762
234,146.640722,166.688271,0.559838,0.29097,0.007059,0.87973,20000,0.328265,5.873781
235,125.152867,162.193668,0.843953,0.411437,0.038283,0.771626,20000,0.328265,8.599665
236,74.235553,93.363383,1.527673,0.246568,0.063392,0.795125,20000,0.328265,5.177332
237,185.46838,148.84894,1.831622,0.341161,0.064325,1.246017,20000,0.328265,62.660169
238,146.440479,164.690847,0.822875,0.408589,0.064541,0.889184,20000,0.328265,17.601102
239,113.527305,94.713191,0.486024,0.549442,0.008222,1.198643,20000,0.328265,26.884272
240,70.753334,83.326805,0.509603,0.510241,0.035898,0.849107,20000,0.328265,6.090181
241,189.273937,192.196745,0.20739,0.154741,0.039455,0.984793,20000,0.328265,4.709546
242,83.426359,82.623711,0.987339,0.305699,0.015405,1.009715,20000,0.328265,10.881989
243,120.718543,125.527649,1.443067,0.119791,0.048135,0.961689,20000,0.328265,8.746351
244,187.806188,172.001402,0.342577,0.15164,0.037128,1.091888,20000,0.328265,19.114753
245,142.964161,145.617513,0.257382,0.171862,0.068812,0.981779,20000,0.328265,4.902599
246,117.665556,97.510303,0.106288,0.315947,0.021494,1.206699,20000,0.328265,20.436692
247,179.772002,142.328401,1.961302,0.276464,0.028613,1.263079,20000,0.328265,52.809133
248,69.918229,62.762572,0.787081,0.258071,0.052634,1.114012,20000,0.328265,12.069427
249,118.766891,104.521813,1.095004,0.584989,0.06813,1.136288,20000,0.328265,37.198726
250,50.532658,62.922524,1.855296,0.344294,0.039123,0.803093,20000,0.328265,6.48862
251,153.662625,138.519014,0.61401,0.356,0.073674,1.109325,20000,0.328265,28.432658
252,40.044089,53.453192,1.816819,0.249454,0.065942,0.749143,20000,0.328265,2.870515
253,201.716153,156.749291,0.88921,0.171128,0.029191,1.286871,20000,0.328265,49.246846
254,101.506466,83.957377,0.629855,0.316019,0.036081,1.209024,20000,0.328265,21.881157
255,136.942337,153.021778,0.851811,0.172459,0.064446,0.894921,20000,0.328265,5.474612
256,66.107877,59.322039,0.806915,0.562566,0.077859,1.11439,20000,0.328265,17.950261
257,155.791657,197.84967,1.499791,0.524057,0.079078,0.787424,20000,0.328265,31.131137
258,105.326065,96.70444,0.623688,0.242086,0.070408,1.089154,20000,0.328265,15.470569
259,71.659223,59.926002,0.542299,0.146295,0.020708,1.195795,20000,0.328265,12.470743
260,144.632845,132.562807,1.148994,0.189292,0.009402,1.091051,20000,0.328265,19.021449
261,172.663819,133.760216,0.369691,0.197101,0.006121,1.290846,20000,0.328265,39.277309
262,133.848216,141.396452,1.462253,0.39954,0.014255,0.946617,20000,0.328265,23.440621
263,120.949553,94.913649,1.6416,0.542509,0.072667,1.274311,20000,0.328265,50.770204
264,85.59821,114.921804,0.929262,0.385295,0.006178,0.744839,20000,0.328265,4.753373
265,101.068813,110.624991,1.933736,0.278554,0.061301,0.913616,20000,0.328265,16.880678
266,225.977491,185.805705,1.814406,0.262234,0.060142,1.216203,20000,0.328265,66.503766
267,108.556027,109.622676,1.061842,0.381499,0.005657,0.99027,20000,0.328265,16.644662
268,99.672152,85.026458,1.222328,0.347422,0.066795,1.172249,20000,0.328265,26.812768
269,149.445331,117.100534,0.373189,0.41851,0.03671,1.276214,20000,0.328265,36.556274
270,192.812245,196.447994,1.540379,0.273761,0.050012,0.981493,20000,0.328265,30.050313
271,134.062747,123.980685,0.655288,0.361646,0.073268,1.08132,20000,0.328265,24.247016
272,71.750637,70.006007,1.056162,0.147352,0.078431,1.024921,20000,0.328265,8.700877
273,137.839063,108.188616,1.062105,0.27967,0.067675,1.274063,20000,0.328265,39.207706
274,195.339447,158.59135,0.603648,0.111191,0.012107,1.231716,20000,0.328265,37.996742
